"SheetName","VariableName","Definition","Units","Priority","ICASA short name","ICASA long name","Equivalent"
"O2. Yield Summary","Harvest date","Date the plot or sample was harvested","YYYY-MM-DD","Required","HDATE","harvest_date",NA
"O2. Yield Summary","Harvested yield, dry weight","Yield of harvested product as dry weight","kg/ha","Required (dry or fresh)","HWAH","harvest_yield_harvest_dw",NA
"O2. Yield Summary","Harvested yield, fresh weight","Yield of harvested product as fresh weight","kg/ha","Required (dry or fresh)","HFAM","harv_yield_matur_f_wt",NA
"O2. Yield Summary","Moisture content of fresh yield","Moisture content of fresh yield (e.g., fruit, leaves, root) at harvest","%","Preferred","HMAH","harvest_moisture_maturity",NA
"O2. Yield Summary","Plant density at harvest","Plant density (population or stand) at harvest","plants / m2","Preferred","PLPAH","plant_density_harvest",NA
"O2. Yield Summary","Above ground biomass","Dry weight of tops (e.g., stems + leaves + any reproductive organs)  at harvest","kg/ha","Preferred","CWAH","tops_dry_weight_harvest",NA
"O2. Yield Summary","Harvested root length","Length of the carrot","cm","Preferred","(pending)","(pending)",NA
"O2. Yield Summary","Harvest root diameter","Diameter at the top of the carrot","mm","Preferred","(pending)","(pending)",NA
"O2. Yield Summary","Carrot grade","Grade based on USDA grades",NA,"Preferred","(pending)","(pending)",NA
"O3. Crop Growth","Sampling Date","Date the measurement or sample was taken","YYYY-MM-DD","Required","DATE","date_of_measurement",NA
"O3. Crop Growth","Plant height","Maximum height of canopy as average over plot","cm","Preferred","CHTD",NA,NA
"O3. Crop Growth","Leaf area index","Leaf area index on a given day",NA,NA,"LAID",NA,NA
"O3. Crop Growth","Leaf nitrogen concentration","Leaf nitrogen concentration","% N",NA,"LNPCD","leaf_N_concentration",NA
"O4. Crop Health","Sampling Date","Date the measurement or sample was taken","YYYY-MM-DD","Required","DATE","date_of_measurement",NA
"O4. Crop Health","Cold injury rating","Horsfall-Barratt scale, with 1 representing virtually no damage and 12 representing 100% of damage",NA,"Preferred","(pending)","(pending)",NA
