"SheetName","VariableName","Definition","Units","Priority","ICASA short name","ICASA long name","Equivalent"
"O2. Yield Summary","Anthesis date","Date when 50% of plants had at least one anther open","YYYY-MM-DD",NA,"ADAT","anthesis_date",NA
"O2. Yield Summary","First seed date",NA,"YYYY-MM-DD",NA,"R5AT","beginning_seed_stage",NA
"O2. Yield Summary","Physiological maturity date","Date when 50% of plants reached physiological maturity as indicated by balc layer or similar criteria","YYYY-MM-DD",NA,"MDAT","physiologic_maturity_dat",NA
"O2. Yield Summary","Harvest maturity date","Date when 50% of plants reached harvest maturity","YYYY-MM-DD",NA,"R8AT","harvest_maturity_stage",NA
"O2. Yield Summary","Harvest date","Date the plot or sample was harvested","YYYY-MM-DD",NA,"HDATE","harvest_date",NA
"O2. Yield Summary","Harvested yield, dry weight","Harvested yield at harvest (dry wt)","kg/ha",NA,"HWAH","harvest_yield_harvest_dw",NA
"O2. Yield Summary","Moisture content of fresh yield","Moisture content of fresh yield (e.g., grain) at harvest","%",NA,"HMAH","harvest_moisture_maturity",NA
"O2. Yield Summary","Plant density at harvest","Plant density (population or stand) at harvest","plants / m2",NA,"PLPAM","plant_density_maturity",NA
"O2. Yield Summary","Total above ground biomass","Tops dry weight at harvest","kg/ha",NA,"CWAH","tops_dry_weight_harvest",NA
"O3. Crop Growth","Sampling Date",NA,"YYYY-MM-DD",NA,"DATE","date_of_measurement",NA
"O3. Crop Growth","Canopy height",NA,"cm","Preferred","CHTD",NA,NA
"O3. Crop Growth","Leaf area index",NA,NA,"Preferred","LAID",NA,NA
"O4. Crop Health","Sampling Date",NA,"YYYY-MM-DD",NA,"DATE","date_of_measurement",NA
