Date,Minimum daily air temperature,Maximum daily air temperature,Daily precipitation,Solar radiation,PAR
1/1/1982,15.6,24.4,19,5.9,12.4
1/2/1982,15,22.2,0,7,14.2
1/3/1982,17.2,27.8,0,9,18.4
1/4/1982,15,26.1,9.4,3.1,6.4
1/5/1982,2.2,17.2,0,12.9,26.3
1/6/1982,4.4,25,0,11.4,22.2
1/7/1982,11.7,26.7,0,8.5,17.6
1/8/1982,14.4,22.8,5.3,3,6.6
1/9/1982,8.9,16.7,0,14.4,26.2
1/10/1982,1.1,14.4,0,12,22.4
1/11/1982,-6.7,14.4,0,15,26.4
1/12/1982,-7.8,10,0,10.8,20.6
1/13/1982,3.9,20,19.8,4.8,10
1/14/1982,6.1,18.9,81,6.2,12.4
1/15/1982,-3.3,12.2,0,14.4,26.8
1/16/1982,-1.7,19.4,0,12.6,24.3
1/17/1982,5.6,19.4,2.8,14.6,27.4
1/18/1982,1.1,20.6,0,11.2,22.1
1/19/1982,8.9,25.6,0,13.3,27.1
1/20/1982,8.3,27.8,0,13.4,26.6
1/21/1982,10,27.8,0,11.6,23.8
1/22/1982,12.2,25.6,0,10.7,21.9
1/23/1982,14.4,26.1,0,10.1,20.7
1/24/1982,10,23.9,0,12.9,26.3
1/25/1982,0,21.1,0,14.1,28.9
1/26/1982,4.4,20,0,14.2,29
1/27/1982,-1.1,15.6,0,13.9,28.5
1/28/1982,2.2,21.7,0,13.8,28.2
1/29/1982,3.3,22.2,0,13.3,27.3
1/30/1982,8.9,25.6,0,12.5,25.6
1/31/1982,13.3,28.9,0,12.6,25.7
2/1/1982,12.2,26.1,0.3,14,28.6
2/2/1982,12.8,26.7,2,7.6,15.6
2/3/1982,15.6,27.2,25.9,3.3,6.7
2/4/1982,14.4,24.4,1,12.5,25.5
2/5/1982,14.4,27.8,0,8.5,17.4
2/6/1982,17.2,26.7,0,6.3,12.9
2/7/1982,10.6,26.7,0,8,16.3
2/8/1982,10,25,0,12.5,25.6
2/9/1982,16.1,26.7,0,7.9,16.1
2/10/1982,14.4,25.6,0.8,4,8.2
2/11/1982,12.8,18.9,0,6.5,13.3
2/12/1982,10.6,25,0.8,7.4,15.1
2/13/1982,10.6,25.6,18,13.3,27.2
2/14/1982,5.6,26.1,0,16.1,32.9
2/15/1982,13.3,26.7,0,9.6,19.6
2/16/1982,16.1,27.8,67.3,10.8,22.1
2/17/1982,14.4,27.2,10.9,13.4,27.4
2/18/1982,11.1,26.1,0,17,34.8
2/19/1982,12.2,25.6,0,15.5,31.7
2/20/1982,10,25.6,0,16.9,34.6
